drug list,pokemon list,Pokemon
"Lithium 300mg, adminsiter by mouth twice daily; Midazolam 5 mg administered IV every 15 minutes until sedation is achieved; Thiamine 400mg, administer IV three times daily; Selegeline 5mg, administer by mouth twice daily with breakfast","Baltoy 10mg Po daily; Lithium 300mg, adminsiter by mouth twice daily; Midazolam 5 mg administered IV every 15 minutes until sedation is achieved; Thiamine 400mg, administer IV three times daily; Selegeline 5mg, administer by mouth twice daily with breakfast",baltoy
"Naloxone 1 mg/hour IV administered as a continuous infusion; Lorazepam 1 mg IV as needed for agitation; Ondansetron 4 mg administered IV every 4 hours as needed; Esomeprazole 40 mg IV administered once daily; hydromorphone 1mg, adminsiter IV every 6 hours as needed for pain","Naloxone 1 mg/hour IV administered as a continuous infusion; solrock 1mg SQ daily; Lorazepam 1 mg IV as needed for agitation; Ondansetron 4 mg administered IV every 4 hours as needed; Esomeprazole 40 mg IV administered once daily; hydromorphone 1mg, adminsiter IV every 6 hours as needed for pain",solrock
Lorazepam 4 mg IV every 2 to 6 hours as needed; Phenobarbital 130 mg IV every 15-20 minutes until symptoms are controlled; Thiamine 100 mg IV once daily for 3 to 5 days; Pantoprazole 40 mg IV daily,Lorazepam 4 mg IV every 2 to 6 hours as needed; Phenobarbital 130 mg IV every 15-20 minutes until symptoms are controlled; Thiamine 100 mg IV once daily for 3 to 5 days; lunatone 5mg PO QHS prn insomnia; Pantoprazole 40 mg IV daily,lunatone
Lorazepam 0.5 mg/hour IV as a continuous infusion; pantoprazole 40 mg administered IV once daily; Enoxaparin 40 mg SQ once daily; Valproate 40 mg/kg IV at a rate of 10 mg/kg/minute,Lorazepam 0.5 mg/hour IV as a continuous infusion; pantoprazole 40 mg administered IV once daily; altaria 500mg PO q12h; Enoxaparin 40 mg SQ once daily; Valproate 40 mg/kg IV at a rate of 10 mg/kg/minute,altaria
"Losartan 50 mg, administer 1 tablet by mouth once daily; pantoprazole 40mg, administer IV once daily; angiotensin II 40 ng/kg/min, administer IV and titrate as indicated; ondansetron 4 mg, administer IV every 6 hours as needed for nausea","Losartan 50 mg, administer 1 tablet by mouth once daily; pantoprazole 40mg, administer IV once daily; cacnea 1% ointment, administer 1 application topically to the affected area twice daily; angiotensin II 40 ng/kg/min, administer IV and titrate as indicated; ondansetron 4 mg, administer IV every 6 hours as needed for nausea",cacnea
"Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses; Ondansetron 4 mg administered IV every 4 hours as needed; Esomeprazole 40 mg IV administered once daily; Losartan 50 mg, administer 1 tablet by mouth once daily;","Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses; vibrava 75mg PO daily; Ondansetron 4 mg administered IV every 4 hours as needed; Esomeprazole 40 mg IV administered once daily; Losartan 50 mg, administer 1 tablet by mouth once daily;",vibrava
"Macitentan 10mg, administer by mouth once daily; Fluconazole 400 mg, Administer IV once daily; Sevelamer 1200 mg, administer by mouth three times daily with meals; furosemide 40mg, administer IV once","Macitentan 10mg, administer by mouth once daily; Torcoal 5mg PO daily; Fluconazole 400 mg, Administer IV once daily; Sevelamer 1200 mg, administer by mouth three times daily with meals; furosemide 40mg, administer IV once",torkoal
"Methotrexate 15mg, administer 1 tablet by mouth once weekly; Prednisone 40mg, administer 1 tablet by mouth once daily; Acetaminophen 650 mg administered IV every 4 hours; azathioprine 50mg, adminster 1 tablet by mouth once daily","Methotrexate 15mg, administer 1 tablet by mouth once weekly; Numel 10mg IM weekly; Prednisone 40mg, administer 1 tablet by mouth once daily; Acetaminophen 650 mg administered IV every 4 hours; azathioprine 50mg, adminster 1 tablet by mouth once daily",numel
"Methylene blue 100mg IV daily; citalopram 40mg PO daily, piperacillin/tazobactam 4500mg q8h; famotidine 20mg IV q12h","Methylene blue 100mg IV daily; citalopram 40mg PO daily, gulpin 50mg PO daily; piperacillin/tazobactam 4500mg q8h; famotidine 20mg IV q12h",gulpin
"Magnesium Sulfate 4 g IV over 15 minutes; furosemide 80mg, Administer IV once; escitalopram 10mg, administer by mouth daily; Methylene blue 2 mg/kg, administer IV over 60 minutes","Magnesium Sulfate 4 g IV over 15 minutes; furosemide 80mg, Administer IV once; escitalopram 10mg, administer by mouth daily; Methylene blue 2 mg/kg, administer IV over 60 minutes; roselia 5% apply topically to the affected area daily PRN itching",roselia
Quetiapine 100mg PO BID; methylene blue 150mg IV once; cefepime 2000mg IV q8h; polyethylene glycol 17gm PO daily,Quetiapine 100mg PO BID; methylene blue 150mg IV once; illumise 10units IV once 1 hour prior to procedure; cefepime 2000mg IV q8h; polyethylene glycol 17gm PO daily,illumise
"Methylene blue 2 mg/kg, administer IV over 60 minutes; Thiamine 400mg, administer IV three times daily; Lacteted ringers 1000 ml, administer IV once; Selegeline 5mg, administer by mouth twice daily with breakfast","Methylene blue 2 mg/kg, administer IV over 60 minutes; munchlax 1 suppository rectally daily PRN constipation; Thiamine 400mg, administer IV three times daily; Lacteted ringers 1000 ml, administer IV once; Selegeline 5mg, administer by mouth twice daily with breakfast",munchlax
"Mexilitine 200mg, administer by mouth every 8 hours; Aspirin 81mg, administer by mouth once daily; Theophylline 100mg, adminiter by mouth 3 times daily; Thiamine 400mg, administer IV three times daily","Mexilitine 200mg, administer by mouth every 8 hours; Riolu 75mg IM q8h; Aspirin 81mg, administer by mouth once daily; Theophylline 100mg, adminiter by mouth 3 times daily; Thiamine 400mg, administer IV three times daily",riolu
Midazolam 5 mg IV according to protocol; Phenobarbital 130 mg IV every 15-20 minutes until symptoms are controlled; Thiamine 100 mg IV once daily for 3 to 5 days; Pantoprazole 40 mg IV daily.,"Midazolam 5 mg IV according to protocol; Phenobarbital 130 mg IV every 15-20 minutes until symptoms are controlled; Thiamine 100 mg IV once daily for 3 to 5 days; Pantoprazole 40 mg IV daily, Lucario 12.5mg IV once",lucario
"Mirabegron 25mg, administer by mouth once daily; tamoxifen 20mg, adminsiter 1 tablet by mouth once daily; Ertapenem 1g, administer IV once daily; trimethoprim-sulfamethoxazole 800/160mg ; take 1 tablet by mouth once daily;","Mirabegron 25mg, administer by mouth once daily; skorupi 5mg/kg IV on weeks 0, 2, and 6; tamoxifen 20mg, adminsiter 1 tablet by mouth once daily; Ertapenem 1g, administer IV once daily; trimethoprim-sulfamethoxazole 800/160mg ; take 1 tablet by mouth once daily;",skorupi
"Modafinil 200mg, administer by mouth once daily; letermovir 480mg, adminsiter by mouth once daily; Ceftriaxone 2g, administer IV once daily; Vancomycin 1250mg; adminster IV every 8 hours;","Modafinil 200mg, administer by mouth once daily; letermovir 480mg, adminsiter by mouth once daily; Ceftriaxone 2g, administer IV once daily; Vancomycin 1250mg; adminster IV every 8 hours; drapion 200mg; administer IV every 2 weeks",drapion
Multivitamin 1 tab PO daily; carvedilol 6.25mg PO q12h; vancomycin 1g IV q12h; levothyroxine 88mcg PO qam,Multivitamin 1 tab PO daily; carvedilol 6.25mg PO q12h; carnivine 500mg IV daily; vancomycin 1g IV q12h; levothyroxine 88mcg PO qam,carnivine
"Norethindrone 5mg, administer by mouth three times daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; Mycophenolate 1g, administer by mouth twice daily","Norethindrone 5mg, administer by mouth three times daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; Mycophenolate 1g, administer by mouth twice daily; finneon 100mg IV every 4 weeks",finneon
"Mycophenolate 1g, administer by mouth twice daily; Acetaminophen 650mg, take 1 tablet by mouth ever 6 hours as needed for pain; Fluconazole 400 mg, Administer IV once daily; Sevelamer 1200 mg, administer by mouth three times daily with meals","Mycophenolate 1g, administer by mouth twice daily; Acetaminophen 650mg, take 1 tablet by mouth ever 6 hours as needed for pain; Fluconazole 400 mg, Administer IV once daily; Sevelamer 1200 mg, administer by mouth three times daily with meals; lumineon 10mg PO qhs",lumineon
Neostigmine 0.05mg/kg IV once; valproic acid 500mg PO q6h; tobramycin 7mg/kg IV q24h; diltiazem 240mg ER PO daily,Neostigmine 0.05mg/kg IV once; magnezone 100mg PO daily; valproic acid 500mg PO q6h; tobramycin 7mg/kg IV q24h; diltiazem 240mg ER PO daily,magnezone
nifedipine ER 90mg PO daily; metoprolol succinate 50mg PO daily; atorvastatin 10mg PO daily; lisinopril 20mg PO daily,nifedipine ER 90mg PO daily; rhyperior 100mg IV weekly; metoprolol succinate 50mg PO daily; atorvastatin 10mg PO daily; lisinopril 20mg PO daily,rhyperior
aztreonam 2000mg IV q8h; lisinopril 20mg PO daily; propafenone 225mg ER PO q12h; nirmatrelvir/ritonavir 300/100mg 1 tab PO q12h,aztreonam 2000mg IV q8h; electivir 100mg IV daily; lisinopril 20mg PO daily; propafenone 225mg ER PO q12h; nirmatrelvir/ritonavir 300/100mg 1 tab PO q12h,electivire
metoclopramide 10mg PO TID PRN constipation; pantoprazole 40mg PO BID; rivaroxaban 20mg PO daily; nirmetrelvir/ritonavir 300/100mg 1 tab PO BID; vancomycin 1000mg IV q12h,metoclopramide 10mg PO TID PRN constipation; pantoprazole 40mg PO BID; rivaroxaban 20mg PO daily; nirmetrelvir/ritonavir 300/100mg 1 tab PO BID; vancomycin 1000mg IV q12h; leafeon 150mg PO QAM,leafeon
Nirmatrelvir/ritonavir 300/100mg 1 tab PO BID; acetaminophen 500mg PO q6h; ceftriaxone 2000mg IV daily; ticagrelor 90mg PO twice daily,Nirmatrelvir/ritonavir 300/100mg 1 tab PO BID; acetaminophen 500mg PO q6h; glacean 1mg IV once; ceftriaxone 2000mg IV daily; ticagrelor 90mg PO twice daily,glacean
"Nitroglycerin 5 mcg/minute; adminsiter IV as a continuous infusion; acyclovir 800 mg, administer 1 tablet by mouth twice daily; alprazolam 0.5 mg, administer by mouth as needed for anxiety; sildenafil 20mg, administer by mouth 3 times daily","Nitroglycerin 5 mcg/minute; adminsiter IV as a continuous infusion; acyclovir 800 mg, administer 1 tablet by mouth twice daily; alprazolam 0.5 mg, administer by mouth as needed for anxiety; sildenafil 20mg, administer by mouth 3 times daily; gliscor 0.5% 1 drop in each eye daily",gliscor
"Nitroprusside 0.5 mcg/kg/min, adminsitered IV as a continuous infusion; Famotidine 20 mg IV once; acetaminophen 650mg, administer by mouth every 6 hours as needed for pain; riociguat 1mg, administer by mouth 3 times daily","Nitroprusside 0.5 mcg/kg/min, adminsitered IV as a continuous infusion; rotom 100mg PO daily; Famotidine 20 mg IV once; acetaminophen 650mg, administer by mouth every 6 hours as needed for pain; riociguat 1mg, administer by mouth 3 times daily",rotom
"Daptomycin 6 mg/kg IV once daily; Rifampin 600 mg IV once daily; Vasopressin 15 mcg/ minute titrated to MAP; Heparin 5000 units administered SQ every 8 hours; Norepinephrine 0.05 mcg/kg/min, titrated to MAP goal","Daptomycin 6 mg/kg IV once daily; Rifampin 600 mg IV once daily; Vasopressin 15 mcg/ minute titrated to MAP; Heparin 5000 units administered SQ every 8 hours; Norepinephrine 0.05 mcg/kg/min, titrated to MAP goal; uxie 1mg/m2 IV monthly",Uxie
"Norethindrone 5mg, administer by mouth three times daily; Rifampin 600 mg IV once daily; Hydroxyzine 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; bumetinide 1mg, administer IV once","Norethindrone 5mg, administer by mouth three times daily; azelf 200mg/act 1 spray in each nostril daily; Rifampin 600 mg IV once daily; Hydroxyzine 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; bumetinide 1mg, administer IV once",Azelf
"Olanzapine 5 mg IM as needed; Norepinephrine 0.27 mcg/kg/minute IV as a continuous infusion; Albumin 1 g/kg, adminsiter IV once; rifaximin 550mg, 1 tablet by mouth twice daily; Ciprofloxacin 750 mg, administer by mouth every 12 hours","Olanzapine 5 mg IM as needed; Norepinephrine 0.27 mcg/kg/minute IV as a continuous infusion; Albumin 1 g/kg, adminsiter IV once; rifaximin 550mg, 1 tablet by mouth twice daily; Ciprofloxacin 750 mg, administer by mouth every 12 hours; darumaka 750mg IV once",darumaka
"Olanzapine 5 mg IM as needed; Norepinephrine 0.27 mcg/kg/minute IV as a continuous infusion; Albumin 1 g/kg, adminsiter IV once; rifaximin 550mg, 1 tablet by mouth twice daily; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for agitation","Olanzapine 5 mg IM as needed; Norepinephrine 0.27 mcg/kg/minute IV as a continuous infusion; Maractus 3% 1 application topically to affected area TID; Albumin 1 g/kg, administer IV once; rifaximin 550mg, 1 tablet by mouth twice daily; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for agitation",maractus
"Daptomycin 600 mg IV once daily; ceftaroline 600mg, administer IV every 8 hours; baclofen 10mg, administer by mouth 3 times daily; oxycodone 5mg, administer every 6 hours as needed for pain","Daptomycin 600 mg IV once daily; ceftaroline 600mg, administer IV every 8 hours; baclofen 10mg, administer by mouth 3 times daily; sigilyph 100mg IV once monthly; oxycodone 5mg, administer every 6 hours as needed for pain",sigilyph
Oxycodone 10mg PO q6h; metoprolol tartrate 50mg PO q6h; docusate 100mg PO BID; lidocaine 4% cream apply to affected area BID; hydrocodone/acetaminophen 5/325 1 tab PO q6h,Oxycodone 10mg PO q6h; metoprolol tartrate 50mg PO q6h; yamask 15mg PO daily; docusate 100mg PO BID; lidocaine 4% cream apply to affected area BID; hydrocodone/acetaminophen 5/325 1 tab PO q6h,yamask
"paroxetine 20mg, administer by mouth once daily; Mexilitine 200mg, administer by mouth every 8 hours; rosuvastatin 20mg, administer by mouth once daily; Furosemide 80 mg IV bolus","paroxetine 20mg, administer by mouth once daily; Mexilitine 200mg, administer by mouth every 8 hours; cofagrigus 20mg IM BID; rosuvastatin 20mg, administer by mouth once daily; Furosemide 80 mg IV bolus",cofagrigus
"Phenytoin 400mg , administer IV over 10 min; melatonin 3 mg, take one tablet by mouth at bedtime; Apixaban 5 mg, administer 1 tablet by mouth twice daily; Dexmedetomidine 0.2 mcg/kg/hour","Carracosta 150mg PO qam; Phenytoin 400mg , administer IV over 10 min; melatonin 3 mg, take one tablet by mouth at bedtime; Apixaban 5 mg, administer 1 tablet by mouth twice daily; Dexmedetomidine 0.2 mcg/kg/hour",carracosta
Phenytoin 100 mg IV every 8 hours; Ceftazidime 2 g administered IV every 8 hours; Metronidazole 500 mg IV every 8 hours; Enoxaparin 40 mg SQ once daily; Pantoprazole 40 mg IV once daily,Phenytoin 100 mg IV every 8 hours; archeops 1mg IM once; Ceftazidime 2 g administered IV every 8 hours; Metronidazole 500 mg IV every 8 hours; Enoxaparin 40 mg SQ once daily; Pantoprazole 40 mg IV once daily,archeops
"Sulfamethoxazole-Trimethoprim 20 mg/kg/day IV, divided into three doses; Phenytoin 100 mg IV administered every 8 hours; Ranitidine 50 mg IV every 8 hours; Heparin 5000 units SQ every 8 hours","Garbador 5% apply topically to affected area BID PRN; Sulfamethoxazole-Trimethoprim 20 mg/kg/day IV, divided into three doses; Phenytoin 100 mg IV administered every 8 hours; Ranitidine 50 mg IV every 8 hours; Heparin 5000 units SQ every 8 hours",garbodor
"Piperacillin-tazobactam 4.5 g IV every 6 hours; Vancomycin 15-20 mg/kg IV every 8 hours; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Hydrocortisone 200 mg continuous infusion.","Piperacillin-tazobactam 4.5 g IV every 6 hours; Vancomycin 15-20 mg/kg IV every 8 hours; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Hydrocortisone 200 mg continuous infusion; zorua 10mg IV once",zorua
"Cefepime 1 g IV every 8 hours; Acetaminophen 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily; dronedarone 400mg, administer by mouth twice daily with meals","Cefepime 1 g IV every 8 hours; minccino 1% apply one drop to affected eye once daily; Acetaminophen 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily; dronedarone 400mg, administer by mouth twice daily with meals",minccino
"Dextrose 50 g IV, administered over 5 minutes; Cefepime 1 g IV every 8 hours; Acetaminophen 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily; everolimus 0.75mg, administer by mouth twice daily","Gothita 500mg IV once; Dextrose 50 g IV, administered over 5 minutes; Cefepime 1 g IV every 8 hours; Acetaminophen 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily; everolimus 0.75mg, administer by mouth twice daily",gothita
"sildenafil 20mg, administer by mouth 3 times daily; Cefepime 1 g IV every 8 hours; Acetaminophen 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily","sildenafil 20mg, administer by mouth 3 times daily; Gothitelle 1gm/inch apply one inch to affected eye once daily; Cefepime 1 g IV every 8 hours; Acetaminophen 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily",gothitelle
"Procainamide 17 mg/kg, administer IV over 30 minutes; Pantoprazole 40 mg, administer IV daily; Enoxaparin 90mg, administer SC twice daily; Escitalopram 10mg, administer by mouth once daily; rifaximin 550mg, 1 tablet by mouth twice daily","Procainamide 17 mg/kg, administer IV over 30 minutes; Pantoprazole 40 mg, administer IV daily; solosis 1000mg IV once; Enoxaparin 90mg, administer SC twice daily; Escitalopram 10mg, administer by mouth once daily; rifaximin 550mg, 1 tablet by mouth twice daily",solosis
"Procainamide 17 mg/kg, administer IV over 30 minutes; Ketamine 1 mg/kg/hour, administered as a continuous infusion; Levofloxacin 750mg, administer by mouth once daily; acetaminophen 500mg, administer by mouth every 6 hours as needed for pain","Duosion 100mg PO once; Procainamide 17 mg/kg, administer IV over 30 minutes; Ketamine 1 mg/kg/hour, administered as a continuous infusion; Levofloxacin 750mg, administer by mouth once daily; acetaminophen 500mg, administer by mouth every 6 hours as needed for pain",duosion
"Procainamide 17 mg/kg, administer IV over 30 minutes; trimethoprim-sulfamethoxazole 800/160mg ; take 1 tablet by mouth once daily; Pantoprazole 40 mg, administer IV daily; Enoxaparin 90mg, administer SC twice daily","Procainamide 17 mg/kg, administer IV over 30 minutes; reuniclus 50mg PO BID; trimethoprim-sulfamethoxazole 800/160mg ; take 1 tablet by mouth once daily; Pantoprazole 40 mg, administer IV daily; Enoxaparin 90mg, administer SC twice daily",reuniclus
Propafenone 225mg ER PO q12h; digoxin 62.5mg PO daily; insulin aspart 7 units SQ TIDAC; insulin detemir 10 units SQ QHS; vancomycin 1000mg IV q12h,Propafenone 225mg ER PO q12h; digoxin 62.5mg PO daily; vanillite 5 units SQ once; insulin aspart 7 units SQ TIDAC; insulin detemir 10 units SQ QHS; vancomycin 1000mg IV q12h,vanillite
Rivaroxaban 20mg PO daily; propofol 40mcg/kg/min; carvedilol 12.5mg PO q12h; famotidine 20mg IV q12h,Rivaroxaban 20mg PO daily; propofol 40mcg/kg/min; vanilluxe 40mg PO daily; carvedilol 12.5mg PO q12h; famotidine 20mg IV q12h,vanilluxe
propofol 25mcg/kg/min; gabapentin 800mg PO TID; aspirin 81mg PO daily; cefdinir 300mg PO BID,propofol 25mcg/kg/min; gabapentin 800mg PO TID; emolga 1% apply topically BID: aspirin 81mg PO daily; cefdinir 300mg PO BID,emolga
Propofol 20mcg/kg/min; ketamine 0.2mg/kg/hr; insulin glargine 10 units SQ q6h; aztreonam 2000mg IV q8h,Propofol 20mcg/kg/min; ketamine 0.2mg/kg/hr; escavalier 1000mg IV q12h; insulin glargine 10 units SQ q6h; aztreonam 2000mg IV q8h,escavalier
Tamsulosin 0.4mg PO daily; insulin levemir 10 units SQ QHS; cefepime 2000mg IV q8h; vancomycin 1500mg IV q12h; propofol 60mcg/kg/min,Tamsulosin 0.4mg PO daily; trevenant 1500mg IV once; insulin levemir 10 units SQ QHS; cefepime 2000mg IV q8h; vancomycin 1500mg IV q12h; propofol 60mcg/kg/min,trevenant
"Rasburicase 6mg, administer IV as a single dose; allopurinol 400mg, administer by mouth every 8 hours; acyclovir 800 mg, administer 1 tablet by mouth twice daily; primaquine 30mg, administer by mouth once daily","Gourgeist 600mg IV once weekly; Rasburicase 6mg, administer IV as a single dose; allopurinol 400mg, administer by mouth every 8 hours; acyclovir 800 mg, administer 1 tablet by mouth twice daily; primaquine 30mg, administer by mouth once daily",gourgeist
"Remdesivir 100mg, administer IV once daily; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Fentanyl 50 mcg IV every hour as needed; hydroxychloroquine 200mg, administer by mouth once daily","Remdesivir 100mg, administer IV once daily; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Fentanyl 50 mcg IV every hour as needed; avalugg 1% apply one drop to affected eye q 4-6 hours PRN; hydroxychloroquine 200mg, administer by mouth once daily",avalugg
Efavirenz 600mg PO daily; rifabutin 300mg PO daily; metoprolol succinate 100mg PO daily; aspirin 81mg PO daily; tobramycin 7mg/kg IV once,Efavirenz 600mg PO daily; noivern 100mg PO BID; rifabutin 300mg PO daily; metoprolol succinate 100mg PO daily; aspirin 81mg PO daily; tobramycin 7mg/kg IV once,noivern
rifabutin 300mg PO daily; warfarin 2.5mg PO daily; famotidine 20mg PO q12h; metoprolol 12.5mg PO q6h,rifabutin 300mg PO daily; xerneas 100mg/act 1 puff in both nostril twice daily; warfarin 2.5mg PO daily; famotidine 20mg PO q12h; metoprolol 12.5mg PO q6h,xerneas
rifampin 600mg PO daily; tobramycin 7mg/kg IV once; apixaban 5mg PO BID; valsartan 40mg PO BID,rifampin 600mg PO daily; tobramycin 7mg/kg IV once; yveltal 150mg IM once; apixaban 5mg PO BID; valsartan 40mg PO BID,yveltal
"Rifampin 600 mg IV once daily; Lacteted ringers 2000 ml, administer IV once; Atovaquone 1500mg, administer by mouth once daily; Famotidine 20 mg IV once","Rifampin 600 mg IV once daily; diancie 100mg IM once weekly; Lacteted ringers 2000 ml, administer IV once; Atovaquone 1500mg, administer by mouth once daily; Famotidine 20 mg IV once",diancie
"Rifampin 600 mg IV once daily; Biktarvy 50/200/25mg, administer one tablet by mouth daily; Ceftriaxone 2g, administer IV once daily; Enoxaparin 40 mg, administer SQ daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion","Rifampin 600 mg IV once daily; Biktarvy 50/200/25mg, administer one tablet by mouth daily; Volcanion 75mg PO q6h; Ceftriaxone 2g, administer IV once daily; Enoxaparin 40 mg, administer SQ daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion",volcanion
"Rifampin 600 mg IV once daily; melatonin 3 mg, take one tablet by mouth at bedtime; Lacteted ringers 2000 ml, administer IV once; Dabigatran 150mg, administer by mouth twice daily; Vancomycin 1000 mg IV, administer every 8 hours","Rifampin 600 mg IV once daily; melatonin 3 mg, take one tablet by mouth at bedtime; Lacteted ringers 2000 ml, administer IV once; Dabigatran 150mg, administer by mouth twice daily; Vancomycin 1000 mg IV, administer every 8 hours; shelmise 15mg PO daily",shelmise
"Rifampin 600 mg IV once daily; Norepinephrine 0.27 mcg/kg/minute IV as a continuous infusion; rifaximin 550mg, 1 tablet by mouth twice daily; rivaroxaban 20mg, administer by mouth once daily","Rifampin 600 mg IV once daily; Cosmog 1mg IM once; Norepinephrine 0.27 mcg/kg/minute IV as a continuous infusion; rifaximin 550mg, 1 tablet by mouth twice daily; rivaroxaban 20mg, administer by mouth once daily",cosmog
"Rifampin 600 mg IV once daily; Hydroxyzine 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; ticagrelor 90mg, administer by mouth twice daily; Acetaminophen 30 mg IV every 6 hours; Heparin 5000 units SQ every 8 hours","Rifampin 600 mg IV once daily; Hydroxyzine 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; Cosmoem 5mg IV BID; ticagrelor 90mg, administer by mouth twice daily; Acetaminophen 30 mg IV every 6 hours; Heparin 5000 units SQ every 8 hours",cosmoem
warfarin 10mg PO MWF; warfarin 6mg PO SaSuTuTh; rifampin 300mg PO BID; ferrous sulfate 325mg PO daily; norepinephrine 10mcg/min iV,warfarin 10mg PO MWF; warfarin 6mg PO SaSuTuTh; rifampin 300mg PO BID; solgaleo 10mg IM once every 4 weeks; ferrous sulfate 325mg PO daily; norepinephrine 10mcg/min iV,solgaleo
riociguat 1mg PO TID; isosorbide dinitrate 10mg PO TID; fluoxetine 20mg PO daily; tobramycin 7mg/kg IV once,riociguat 1mg PO TID; lunala 100mg PO QHS prn insomina; isosorbide dinitrate 10mg PO TID; fluoxetine 20mg PO daily; tobramycin 7mg/kg IV once,lunala
ritonavir 300mg PO daily; carvedilol 25mg PO BID; alprazolam 1mg PO TID; cefepime 2000mg IV q12h,ritonavir 300mg PO daily; nihilego 100mg IM once weekly; carvedilol 25mg PO BID; alprazolam 1mg PO TID; cefepime 2000mg IV q12h,nihilego
ritonavir 300mg PO daily; polyethylene glycol 17gm PO daily; amiodarone 400mg PO BID; ceftriaxone 1000mg IV q24h,celesteela 10mg IV once every 4 weeks; ritonavir 300mg PO daily; polyethylene glycol 17gm PO daily; amiodarone 400mg PO BID; ceftriaxone 1000mg IV q24h,celesteela
Ritonavir 300mg PO daily; aspirin 325mg PO daily; ceftriaxone 1000mg IV q24h; rifabutin 300mg PO daily,"Kartana 100mg IV on weeks 0, 2, and 8; Ritonavir 300mg PO daily; aspirin 325mg PO daily; ceftriaxone 1000mg IV q24h; rifabutin 300mg PO daily",kartana
Ritonavir 300mg PO daily; rivaroxaban 15mg PO BID; tobramycin 7mg/kg IV once; gabapentin 300mg PO TID; spironolactone 25mg PO daily,Necrozma 15mg PO QHS; Ritonavir 300mg PO daily; rivaroxaban 15mg PO BID; tobramycin 7mg/kg IV once; gabapentin 300mg PO TID; spironolactone 25mg PO daily,necrozma
ritonavir 300mg PO daily; sildenafil 40mg PO TID; docusate 100mg PO TID; cefepime 2000mg IV q24h,ritonavir 300mg PO daily; magearna 75mg PO daily; sildenafil 40mg PO TID; docusate 100mg PO TID; cefepime 2000mg IV q24h,magearna
Ritonavir 300mg PO daily; aspirin 325mg PO daily; ceftriaxone 1000mg IV q24h; tamsulosin 0.04mg PO daily; gabapentin 300mg PO TID,Ritonavir 300mg PO daily; poipole 1000mg PO TID; aspirin 325mg PO daily; ceftriaxone 1000mg IV q24h; tamsulosin 0.04mg PO daily; gabapentin 300mg PO TID,poipole
Rivaroxaban 20mg PO daily; apixaban 5mg PO BID; ceftriaxone 1000mg IV q24h; ketamine 0.4mg/kg/hr,Rivaroxaban 20mg PO daily; apixaban 5mg PO BID; zeraora 1mg PO TID PRN Anxiety; ceftriaxone 1000mg IV q24h; ketamine 0.4mg/kg/hr,zeraora
aspirin 81mg PO daily; ceftriaxone 2000mg IV daily; ferrous sulfate 325mg PO daily; ketamine 200mg IV once; rivaroxaban 15mg PO BID,aspirin 81mg PO daily; ceftriaxone 2000mg IV daily; melmetal 1 tablet PO daily; ferrous sulfate 325mg PO daily; ketamine 200mg IV once; rivaroxaban 15mg PO BID,melmetal
Rivaroxaban 15mg PO BID; phenytoin 100mg PO TID; ceftriaxone 1000mg IV q24h; vancomycin 1000mg IV q12h; propofol 20mcg/kg/min,Rivaroxaban 15mg PO BID; phenytoin 100mg PO TID; alcremie 10mg IM once; ceftriaxone 1000mg IV q24h; vancomycin 1000mg IV q12h; propofol 20mcg/kg/min,alcremie
sildenafil 100mg PO once; isosorbide dinitrate 10mg PO q8h; tobramycin 7mg/kg IV q24h; magnesium citrate 300mL PO once; warfarin 5mg PO daily,snom 5mg PO BID; sildenafil 100mg PO once; isosorbide dinitrate 10mg PO q8h; tobramycin 7mg/kg IV q24h; magnesium citrate 300mL PO once; warfarin 5mg PO daily,snom
